#{"t_start": 1773812897.832136, "env_id": "None"}
r,l,t
23.0,70,86.562158
46.4,51,86.617979
51.3,63,86.687496
0.05,52,86.742293
40.45,57,86.803835
23.65,65,86.874853
30.5,65,86.942161
30.0,40,86.984302
15.5,70,87.059675
6.5,55,87.121895
23.75,65,87.486971
22.05,57,87.551921
14.9,61,87.620056
25.9,56,87.680728
13.35,55,87.743074
29.65,54,87.799826
18.05,52,87.853983
17.8,70,87.928179
47.0,65,87.99459
24.25,37,88.035209
41.15,51,88.088816
39.25,70,88.167657
14.8,17,88.18682
20.25,62,88.260729
32.25,65,88.328909
15.55,62,88.39957
10.75,55,88.46193
3.35,57,88.52446
15.15,61,88.591948
14.0,55,88.652006
49.15,57,88.711237
21.2,69,88.782978
-8.7,17,88.80066
-14.05,43,88.843922
39.75,70,88.917959
28.45,77,89.000721
4.95,56,89.057507
17.55,71,89.133347
11.8,56,89.192773
9.4,51,89.246949
3.6,49,89.301516
12.05,54,89.35717
-16.35,26,89.384212
50.15,51,89.43947
32.75,15,89.456546
55.45,69,89.530609
55.55,59,89.59627
0.45,43,89.641471
25.85,49,89.979324
19.05,52,90.039742
12.5,70,90.113219
4.65,55,90.176972
12.4,37,90.219757
9.45,58,90.282086
45.0,70,90.35844
41.3,57,90.420215
-5.0,43,90.466813
-4.5,49,90.517332
14.2,51,90.572026
13.8,77,90.657199
3.25,58,90.716811
13.95,59,90.778563
55.85,69,90.848387
51.85,69,90.920664
6.55,58,90.980663
10.65,61,91.045168
6.5,51,91.098669
6.4,51,91.151744
11.25,51,91.207089
20.0,65,91.277703
8.15,51,91.334089
36.3,57,91.394976
6.75,50,91.450945
1.85,49,91.502583
16.3,62,91.568288
6.55,57,91.629562
24.35,37,91.667669
7.2,61,91.731222
5.05,62,91.793171
6.1,50,91.847706
-3.55,43,91.890623
59.1,64,91.955045
9.4,61,92.020743
10.3,57,92.08264
-9.3,43,92.420674
5.55,57,92.490727
16.75,56,92.563677
13.5,55,92.628433
5.15,51,92.687891
46.45,68,92.75908
6.65,56,92.818299
15.05,70,92.891697
14.75,55,92.950477
20.55,52,93.004674
-5.2,17,93.024522
0.05,49,93.078849
-10.95,17,93.096652
9.35,57,93.156411
45.1,49,93.211678
12.7,22,93.242981
38.8,51,93.299125
5.05,52,93.358667
18.75,70,93.434784
11.0,52,93.493276
20.2,43,93.537811
12.25,55,93.598208
6.75,60,93.66046
18.75,55,93.719125
43.35,64,93.789097
12.75,55,93.846295
29.75,70,93.920277
26.75,70,93.990623
85.95,70,94.065408
